trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
265,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.92894928141934,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
266,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.36156310649855,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
267,False,"{'a': 0.5, 'e': 1.0}",30,1,-115.49272550385245,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 2}",1
268,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.80410022591383,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
269,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.8979817218797,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
270,False,"{'a': 0.5, 'e': 1.0}",30,0,-238.84627141869652,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
271,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.39415900046195,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
272,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.92930017168914,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
273,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.57303531264523,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
274,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.57919934694047,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
275,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.155211316737,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
276,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.60958662318548,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
277,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.14944983300342,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
278,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.41061934541091,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
279,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.176051142593451,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
280,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.55300271226433,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
281,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.36381101868724,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
282,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.32626455789811,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
283,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.7050038852137,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
284,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.8304368372466,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
285,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.30666248384902,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
286,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.85430463319685,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
287,False,"{'a': 0.5, 'e': 1.0}",20,2,-67.6917297843637,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
288,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.2751392597244,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
289,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.7947719309834,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
290,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.16549864041423,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
291,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.44970747346005,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
292,False,"{'a': 0.5, 'e': 1.0}",25,1,-97.98181705937233,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 0}",1
293,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.40760034784313,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
294,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.61915672215162,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
295,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.94263472729574,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
296,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.68171934152372,"{0: 10, 1: 2, 2: 8, 3: 3, 4: 2}",0
297,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.57528989921153,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
298,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.61919119302434,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
299,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.11457980861263,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
300,False,"{'a': 0.5, 'e': 1.0}",25,0,-326.3607681965125,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 6}",0
301,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.05857650869137,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
302,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.96539068646217,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
303,False,"{'a': 0.5, 'e': 1.0}",20,4,-27.327075837005587,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
304,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.73424177793507,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
305,False,"{'a': 0.5, 'e': 1.0}",25,0,-237.0396137617404,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
306,False,"{'a': 0.5, 'e': 1.0}",25,4,-92.55155218330131,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 2}",1
307,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.04623250214574,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
308,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.94178808850397,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
309,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.0486395438079,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
310,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.95666633730569,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
311,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.9647874587873,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
312,False,"{'a': 0.5, 'e': 1.0}",25,11,-46.56412067472006,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
313,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.03869532237475,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
314,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.9093823128324,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
315,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.95892508245676,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
316,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.7910595961916,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
317,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.78008640373506,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
318,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.11440525986808,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
319,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.9404801355991,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
320,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.72298495942351,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
321,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.50088192836373,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
322,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.770913070142456,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
323,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.75203233233027,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
324,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.455974298001106,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
325,False,"{'a': 0.5, 'e': 1.0}",20,12,-44.99525368701707,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
